"","X","State","Date","BinaryPiracyIncident","TotalViolentIncidents","TotalCasualties","CoastalCasualties","InlandCasualties","CoastalIncidents","InlandIncidents","GDPpc","Population","Unemployment","FishStocks","Military","Trade","CoastlineLength","Ports","ChokepointDistance1","ChokepointDistance2","Chokepoints","MajorShippingLane","OngoingCivilWar","StateFragility","StateReach","CountPiracyIncidents","Monsoon","Year"
"55",2805,"Djibouti","Aug 1999",0,1,4,4,0,1,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"56",2806,"Djibouti","Sep 1999",0,1,0,0,0,1,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"57",2807,"Djibouti","Oct 1999",0,0,0,0,0,0,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"58",2808,"Djibouti","Nov 1999",0,0,0,0,0,0,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"59",2809,"Djibouti","Dec 1999",0,0,0,0,0,0,0,765.856135,699975,10.74699974,2419.647143,5.478089713,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1999"
"60",2810,"Djibouti","Jan 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"61",2811,"Djibouti","Feb 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"62",2812,"Djibouti","Mar 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"63",2813,"Djibouti","Apr 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"64",2814,"Djibouti","May 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"65",2815,"Djibouti","Jun 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"66",2816,"Djibouti","Jul 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"67",2817,"Djibouti","Aug 2000",1,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,1,0,"2000"
"68",2818,"Djibouti","Sep 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"69",2819,"Djibouti","Oct 2000",1,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,1,0,"2000"
"70",2820,"Djibouti","Nov 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"71",2821,"Djibouti","Dec 2000",0,0,0,0,0,0,0,768.1760767,717584,10.71800041,2386.287007,2.474929604,NA,314,1,119,119,4,1,0,16,0.00613159850642385,0,0,"2000"
"72",2822,"Djibouti","Jan 2001",1,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,1,0,"2001"
"73",2823,"Djibouti","Feb 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
"74",2824,"Djibouti","Mar 2001",0,0,0,0,0,0,0,780.9082226,733015,10.7130003,2481.433764,0.397307469,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2001"
